Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,— Inspection,3886 El Camino Real,May 26 2010,Permit Issued,Approved,09000-00682,Permit: #10000-01132,INSTALL BACK FLOW DEVICE,
palo alto,— Permit,210 Matadero Av,May 12 2010,Permit Issued,Permit Issued,09000-02760,Permit: #10REV-00101,09-2760 ROOFING CHANGEED FROM CONCRETE FLAT TILE TO PRESIDENTIAL ASPHALT SHINGLES  ADD 1 MORE SKYLIGHT TO STAIR AREA.,
palo alto,— Inspection,820 Loma Verde Av,Aug 23 2010,Permit Issued,Approved,10000-01524,Permit: #10000-01524,ADD CIRCUIT AND 2 SWITCHES FOR EXISTING WHOLE HOUSE FAN.,
palo alto,— Inspection,1072 Metro Ci,May 23 2016,Finaled,Approved,14000-03001,Permit: #14000-03001,RESIDENTIAL ADDITION ~678SF AND REMODEL,
palo alto,— Inspection,483 Channing Av,Jun 20 2011,Permit Issued,Approved,10000-00712,Permit: #10000-00712,WINDOW REPLACEMENT (2) AND WINDOW AWNING REPLACEMENT (4) REPLACE ATTIC STAIR AND INSTALL (1) NEW BATH FAN.,
palo alto,— Inspection,3820 Carlson Ci,Apr 29 2010,Permit Issued,Approved,10000-00710,Permit: #10000-00710,BATHROOM REMODEL ~ 35 FT^2.,
palo alto,— Inspection,800 Charleston Rd Unit 17,Apr 14 2010,Permit Issued,Approved,10000-00707,Permit: #10000-00707,REMOVE AND REPLACE EXISTING COPMP ROOF ON UNITS 17 18 19 20 WITH 50 YEAR CERTENTEED COMPOSITION CONTRACTORS CELL NUMBER 408 356 6211,
palo alto,— Inspection,3424 Thomas Dr,Jun 11 2010,Permit Issued,Approved,10000-00705,Permit: #10000-00705,SINHA RESIDENCE-REMOVE AND REPLACE NEW WALL HUNG HIGH EFFICIENCY CONDENSING BOILER IN THE EXISTING LOCATION.,
palo alto,— Inspection,336 Fulton St,Jun 8 2010,Permit Issued,Approved,10000-00704,Permit: #10000-00704,SERVICE UPGRADE TO 200 AMPS.,
palo alto,— Inspection,480 Lytton Av Unit 8,Apr 21 2010,Permit Issued,Not approved; work not finished,10000-00713,Permit: #10000-00713,INTERIOR NON-STRUCTURAL DEMO ~1224 SF.,
palo alto,— Inspection,375 Coleridge Av,Apr 15 2010,Permit Issued,Approved,10000-00728,Permit: #10000-00728,INSTALL NEW 1 1/2" BACKFLOW ASSEMBLY WITH IN FIVE OF PROPERTY LINE WITH AN EXPANSION TANK.,
palo alto,— Inspection,3445 Kenneth Dr,Apr 26 2010,Permit Issued,Approved,10000-00727,Permit: #10000-00727,REPLACE EXISTING WATER HEATER WITH 40 GALLON UNIT.,
palo alto,— Inspection,1536 Dana Av,Jun 17 2010,Permit Issued,Approved,10000-00726,Permit: #10000-00726,REPLACE EXISTING WATER HEATER WITH 50 GALLON UNIT.,
palo alto,— Inspection,4017 Villa Vera,May 18 2010,Permit Issued,Approved,10000-00725,Permit: #10000-00725,REMOVE AND REPLACE ONE WINDOW AND ONE PATIO DOOR IN THE SAME LOCATION AND THERE ARE NO STRUCTURAL CHANGES.,
palo alto,— Permit,3189 Ramona St,Apr 7 2010,Permit Issued,Permit Issued,10000-00724,Permit: #10000-00724,40 GALLON WATER HEATER,
palo alto,— Inspection,3827 Grove Av,Sep 17 2010,Permit Issued,Approved,10000-00723,Permit: #10000-00723,REMOVE AND REPLACE INTERIOR FINSHES IN GUEST BATHROOM,
palo alto,— Permit,3185 Ramona St,Apr 27 2010,Permit Issued,Permit Issued,10000-00722,Permit: #10000-00722,50 GALLON WATER HEATER,
palo alto,— Inspection,3815 Nathan Wy,Apr 27 2010,Permit Issued,Approved,10000-00721,Permit: #10000-00721,40 GALLON WATER HEATER,
palo alto,— Inspection,482 Wilton Av,Apr 12 2010,Permit Issued,Approved,10000-00719,Permit: #10000-00719,REPLACE SEWER LINE TRENCH METHOD.,
palo alto,— Inspection,524 Middlefield Rd,Aug 23 2010,Permit Issued,Approved,10000-01980,Permit: #10000-01980,MAIN HOUSE: T/O EXISTING TWO (2) LAYERS OF WOOOD SHINGLES. INSTALL 1/2" CDX PLYWOOD 30 LB UNDERLAYMENT AND REROOF WITH 30 YEAR COMP SHINGLE -19 SQUARES,
palo alto,— Inspection,2875 Middlefield Rd Unit 1,Apr 21 2010,Permit Issued,Approved,10000-00716,Permit: #10000-00716,INSTALL BACKFLOW DEVICE,
palo alto,— Inspection,757 Sutter Av,Apr 21 2010,Permit Issued,Approved,10000-00715,Permit: #10000-00715,RED TAGGED; GAS LEAK REPAIR.,
palo alto,— Inspection,2965 South Ct,Jul 21 2010,Permit Issued,Approved,10000-00714,Permit: #10000-00714,REPLACE FURNACE IN SAME LOCATION AND UPGRADE INSULATION IN ATTIC R-38,
palo alto,— Inspection,3071 Higgins Pl,Apr 19 2010,Permit Issued,Approved,10000-00740,Permit: #10000-00740,REPLACE FURNACE AND INSTALL NEW AC UNIT.,
palo alto,Plam Check,21 Regent Pl,Jun 9 2009,,Approved,09REV-00182,Permit: #09REV-00182,08-842: AMMR FOR PV AC WIRING,
palo alto,Plam Check,3700 Redwood Ci,Jun 15 2009,,Approved,09REV-00233,Permit: #09REV-00233,08-2778: CHANGED FRAMING DETAIL FOR COFFERED CEILING IN LVG ROOM AC UNIT LOCATED NE SIDE OF HOUSE,
palo alto,— Permit,151 Forest Av,Dec 10 2014,Permit Issued,Permit Issued,14000-02873,Revision,14-2873: REVISE PLANS TO INCLUDE PROCEDURE ROOMS AND RECOVERY ROOM AND ASSOCIATRED MEDICAL GAS AND ELECTRIC.,
palo alto,— Inspection,3173 South Ct,Dec 2 2015,Permit Issued,Approved,15000-02800,Res Elect/Plbg/Mech only,REPLACE THE FURNACE IN THE SAME LOCATION (ATTIC) AND ADD AN A/C UNIT,
palo alto,— Inspection,862 Moreno Av,Jun 8 2009,,Approved,09000-00688,Permit: #09000-00688,REMODEL MASTER BATHROOM: REPLACE SINK UPGRADE ELECTRICAL REPLACE EXISTING FAN REFINISH TUB REDUCE PONY-WALL AT TUB NEW TILE THRU-OUT,
palo alto,— Inspection,1850 Sand Hill Rd 4,Apr 9 2009,,Approved,09000-00687,Permit: #09000-00687,UNIT 4: REPLACE EXISTING FURNACE IN INTERIOR CLOSET w/NEW 70000 BTU CARRIER,
palo alto,— Inspection,1437 Byron St,Mar 11 2010,Permit Issued,Approved,09000-00685,Permit: #09000-00684,SINGLE-STORY RESIDENTIAL ADDITION (2-BDRMS 1-BTHRM = 437-SF) & REMODEL BDRM/OFC (208-SF) NEW SKYLIGHT (*DEMO & REBUILD GARAGE: 386-SF #09-685),
palo alto,— Inspection,342 Kellogg Av,May 11 2010,,Approved,09000-00679,Permit: #09000-00679,REPLACE WATER HEATER,
palo alto,— Inspection,174 Walter Hays Dr,Feb 10 2010,Permit Issued,Approved,09000-00734,Permit: #09000-00734,NEW CLOSED LOOP SOLAR HOT WATER HEATER SYSTEM FOR POOL AND DOMESTIC WATER NEW NORITZ TANKLESS WATER HEATER,
palo alto,Plam Check,2045 Cowper St,Apr 7 2009,,Approved,09REV-00144,Permit: #09REV-00144,ELECTRICAL REVISIONS FOR KITCHEN LIGHTING,
palo alto,Plam Check,550 Hamilton Av Suite 215,Jun 11 2009,FIR - Approved,Approved,09000-00696,Permit: #09000-00696,U&O FOR 'GARY M OLSON PH.D' PSYCHOLOGICAL AND PSYCHIATRIC CONSULTATION 628 SF,
palo alto,— Inspection,2455 El Camino Real,Jan 27 2010,Permit Issued,Approved,09000-02617,Permit: #09000-02617,INSTALL BACKFLOW DEVICE,
palo alto,— Inspection,1160 Fulton St,Apr 28 2009,,Approved,09000-00694,Permit: #09000-00694,REPLACE FURNACE.,
palo alto,— Inspection,3437 Rambow Dr,May 6 2009,,Approved,09000-00692,Permit: #09000-00692,POOL DEMO,
palo alto,— Inspection,1638 Portola Av,Nov 16 2009,Permit Issued,Approved,09000-00791,Permit: #09000-00791,REMODEL KITCHEN/NOOK 2-BATHROOMS AT FIRST FL WIDEN OPENING BETWEN DIN/LIV RM NEW MST BATH AT FORMER 2ND FL STUDY ADD (17.5 SF) ATTIC STORAGE (CEILING < 5') 8/4/09 OMITTED CAN LIGHTS IN LVG/DNG/HALLWAY UPSTAIRS BDRMS/HALLWAY. 08/06/09 ADD AC UNIT.,
palo alto,— Permit,3500 Deer Creek Rd Bldg 26 L,Apr 4 2012,Permit Issued,Permit Issued,10000-02136,Permit: #12REV-00197,(REF PERMIT #11-226) ELECTRICAL ADDITIONS TO THERMAL VEHICLE CHAMBER.,
palo alto,— Inspection,2205 Waverley St,Jul 3 2013,Permit Issued,Cancelled,13000-01595,Permit: #13000-01595,REPLACE FURNACE IN THE SAME LOCATION (ATTIC) AND ADD A NEW FLUE PIPE,
palo alto,Plam Check,100 Hamilton Av Suite 300,,,,10000-02081,Permit: #11000-00263,TENANT IMPROVEMENTS FOR "PALANTIR TECHNOLOGIES" ~150 SF REMOVE NON BEARING WALLS TO MAKE ROOM FOR OPEN OFFICE.,
palo alto,— Permit,488 W Charleston Rd,Sep 8 2011,Permit Issued,Permit Issued,10000-01511,Permit: #11REV-00306,10-01511: DEFERRED SUBMITTAL FOR THE DP CANOPY (BIKE COVER),
palo alto,— Inspection,1083 Moffett Ci,Aug 12 2011,Permit Issued,Approved,11000-01129,Permit: #11000-01129,REMODLE KITCHEN IN THE SAME LOCATION,
palo alto,— Permit,180 El Camino Real Suite 181,Mar 22 2011,Permit Issued,Permit Issued,10000-03215,Permit: #11REV-00127,10-3215: STUCTURAL REVISION TO ADD STEEL PLATE AT BASE OF STORE FRONT,
palo alto,— Permit,4191 Briarwood Wy,Apr 29 2011,Permit Issued,Permit Issued,11000-00653,Permit: #11REV-00177,11-00653: ADD SKYLIGHT,
palo alto,— Inspection,1160 California Av,Jan 14 2016,Permit Issued,Approved,15000-02924,Res Elect/Plbg/Mech only,RESIDENTIAL ROOF MOUNTED PHOTOVOLTAIC SYSTEM 4.16kW,
palo alto,— Permit,3851 Nathan Wy,Jan 6 2014,Finaled,Permit Issued,14000-00058,Res Remodel/Repair,RESIDENTIAL KITCHEN REMODEL AND THREE (3) BATHROOM REMODELS WITHIN THE (E) FOOTPRINT. REROOF ENTIRE HOUSE 25 SQUARES OF SINGLE PLY O/ (E) SINGLE PLY.,
palo alto,— Inspection,786 Marion Av,Aug 25 2011,Permit Issued,Approved,11000-00649,Permit: #11000-00649,INSTALL LEVEL 2 ELECTRIC VEHICLE CHARGING STATION-NEW 60AMP SUBPANEL,
palo alto,— Inspection,981 College Av,Sep 2 2011,Permit Issued,Approved,11000-00648,Permit: #11000-00648,SINGLE STORY ADDITION OF A MASTER BATHROOM (96 SF). RELOCATION OF GAS AND ELECTRIC METER,
palo alto,— Permit,841 Garland Dr,Nov 20 2013,Permit Issued,Permit Issued,13000-03090,Permit: #13000-03090,RESIDENTIAL BATHROOM REMODEL (56 SF): INSTALL (N) DOUBLE VANITY RELOCATE TOILET TO (E) CLOSET AREA INSTALL (N) CURBLESS SHOWER AND REMOVE (E) TUB ASSOCIATED MECHNICAL AND ELECTRICAL,
palo alto,— Inspection,3091 Bryant St,Jun 21 2016,Finaled,Cancelled,16000-01142,Web-Re-roofing,tear of comp and installed comp,
palo alto,— Inspection,4261 El Camino Real,May 19 2016,Permit Issued,Not approved; work not finished,15000-03121,Com Elect/Plbg/Mech only,WATER LINE REPLACEMENT (WORK TO BE DONE IN PUBLIC ROW 15STR-00108),
palo alto,— Inspection,390 El Dorado Av,Jul 12 2012,Permit Issued,Approved,10000-02495,Permit: #11000-01883,IRESIDENTIAL PHOTOVOLTAIC SYSTEM,
palo alto,— Inspection,3746 La Calle,May 4 2011,Permit Issued,Approved,11000-00645,Permit: #11000-00645,RETROFIT WINDOWS LIKE FOR LIKE NO SIZE CHANGE. 1 - BATHROOM 2-DEN 1-KITCHEN,
palo alto,— Permit Issuance,734 Middlefield Rd,Jun 6 2016,Finaled,Permit Issued,16000-01096,Revision,16000-01096: REVISION/CLARIFICATION ON ROOF FRAMING,
palo alto,— Inspection,912 Channing Av,Mar 24 2011,Permit Issued,Approved,11000-00655,Permit: #11000-00655,Backflow Device,
palo alto,— Permit,1080 Tanland Dr,Jul 5 2012,Permit Issued,Permit Issued,12000-01579,Permit: #12000-01579,REPLACE BOILER AND 50 GALLON STORAGE TANK.,
palo alto,— Inspection,330 California Av,Jun 25 2015,Permit Issued,Approved,14000-02126,Use & Occupancy only,ABBEY NEUROLEARNING CENTER: U&O ONLY FOR A TWO STORY TENANT SPACE (1684 SF). PLANNING USE: PERSONAL SERVICE/RETAIL,
palo alto,— Inspection,850 Middlefield Rd Suite 3,Aug 16 2011,Permit Issued,Approved,11000-00665,Permit: #11000-00665,REZA RIAHI DDS: TI AND U&O FOR A NEW DENTAL OFFICE. 1279 SF. SUITES 3 AND 4 COMBINED INTO A SINGLE SUITE,
palo alto,— Permit,522 Jackson Dr,Dec 9 2013,Permit Issued,Permit Issued,13000-02773,Permit: #13REV-00760,13000-00760: REVISION FOR SIDE ENTRY DOOR/WINDOW LOCATION CHANGE ON ADDITION,
palo alto,— Permit,2999 Waverley St,Oct 25 2011,Permit Issued,Permit Issued,11000-00663,Permit: #11REV-00440,11000-00663: DEFERRED SUBMITTAL FOR TANKLESS WATER. REVISION CHANGED FROM CSST TO TO STEEL PIPE,
palo alto,— Inspection,2011 Columbia St,Oct 22 2012,Permit Issued,Approved,12000-02513,Permit: #12000-02587,REPLACE 50 GAL CONVENTIONAL WATER HEATER WITH TANKLESS WATER HEATER IN GARAGE. INSTALL ASSOCIATED PLUMBING AND ELECTRICAL. DEDICATED GAS LINE ~50’ @ 1”.,
palo alto,— Inspection,3032 Greer Rd,Mar 25 2011,Permit Issued,Approved,11000-00661,Permit: #11000-00661,REMOVE OLD BOILER & REPLACE WITH NEW ONE,
palo alto,— Inspection,240 Rinconada Av,Mar 18 2011,Permit Issued,Approved,11000-00660,Permit: #11000-00660,TRENCHLESS SEWER LINE REPLACEMENT,
palo alto,— Inspection,3986 Bibbits Dr,Jul 27 2012,Permit Issued,Approved,12000-01654,Permit: #12000-01654,ROCK SWEEP AND RE-TAR AND GRAVEL,
palo alto,— Inspection,3817 Carlson Ci,Sep 10 2013,Permit Issued,Approved,13000-01169,Permit: #13000-01169,(N) COVERED CARPORT ATTACHED TO GARAGE. 240 SF.,
palo alto,Plam Check,3718 Cass Wy,,,,11000-00656,Permit: #11REV-00136,REMOVE AND REPLACE IN THE SAME LOCATION RETILE GUEST BATHROOM TUB ENCLOSURE AND INASTALL NEW SHOWER VALVE AND WATER PIPING ******************* BATHROOM ATTACHEMENT************************************,
palo alto,— Inspection,2340 Dartmouth St,Apr 7 2016,Finaled,Approved,16000-00611,Res Elect/Plbg/Mech only,INSTALL LEVEL 2 EVSE ON EXTERIOR OF HOUSE TO THE RIGHT OF THE MAIN PANNEL,
palo alto,— Inspection,154 Bryant St,May 15 2015,Permit Issued,Not approved; corrections required,15000-00908,Res Elect/Plbg/Mech only,INSTALL (N) 50 AMP RECEPTACLE ON EXTERIOR WALL OUTSIDE GARAGE (NON-EVSE),
palo alto,— Inspection,575 High St,Jul 28 2015,Permit Issued,Approved,14000-01284,Use & Occupancy only,CAMP MOBILE INC. U & O ONLY. NO CONSTRUCTION ASSOCIATED.,
palo alto,Plam Check,3500 Deer Creek Rd,Jan 5 2016,Permit Issued,Approved,15000-03087,Com Elect/Plbg/Mech only,INSTALL NEW 800 AMP DISTRIBUTION PANEL AND FEEDER . INSTALL NEW DISCONNECT SWITCHES (1) 100 AMP AND (1) 200 AMP.,
palo alto,— Permit,820 E Greenwich Pl,Feb 29 2012,Permit Issued,Permit Issued,11000-02089,Permit: #12REV-00120,11-2089;ELECTRICAL WORK INCLUDES LIGHTS AND FANS.,
palo alto,— Inspection,708 Colorado Av,May 5 2015,Permit Issued,Not approved; corrections required,15000-00520,Com Elect/Plbg/Mech only,7-ELEVEN: INSTALL (5) ELECTRICAL OUTLETS BRANCHING OFF OF (E) CIRCUITS,
palo alto,— Inspection,433 Melville Av,Apr 28 2016,Finaled,Approved,14000-03091,Res Elect/Plbg/Mech only,RESIDENTIAL- INSTALL (N) NATURAL GAS GENERATOR 580LBS AND 240000 BTU,
palo alto,— Permit,850 Webster St,Jun 22 2016,Permit Issued,Permit Issued,16000-01236,Revision,12-2351: REVISED PLANS INCLUDE REVIEW OF DUAL JURISDICTION ACCESSIBLE / EGRESS PATH.,
palo alto,— Permit,3548 South Ct,Feb 29 2012,Permit Issued,Permit Issued,11000-02903,Permit: #12REV-00124,11-2903: ADD (N) DOOR BETWEEN GARAGE AND LIVING ROOM,
palo alto,— Inspection,2108 Bellview Dr,May 20 2016,Finaled,Approved,15000-01937,Res Elect/Plbg/Mech only,INSTALL LEVEL 2 CAR CHARGER ON EXTERIOR WALL OF GARAGE,
palo alto,— Inspection,3177 Emerson St,Jan 23 2013,Permit Issued,Approved,13000-00085,Permit: #13000-00085,ELECTRIC SERVICE UPGRADE IN SAME LOCATION TO 200 AMPS.,
palo alto,Plam Check,762 Wildwood Ln,,,,09000-00697,Permit: #12000-00267,INSTALL NEW BOILER TO REPLACE OLD ONE,
palo alto,— Inspection,3600 Ramona St,Nov 23 2011,Permit Issued,Approved,11000-02987,Permit: #11000-02987,RESIDENTIAL EV CHARGER LOCATED WITHIN THE GARAGE,
palo alto,— Permit,3921 Fabian Wy Bldg L,Mar 5 2012,Permit Issued,Permit Issued,10000-00751,Permit: #11REV-00375,10-751: REDUCTION OF SCOPE: ELIMINATING PREP KITCHEN AND RELATED WORK.,
palo alto,— Permit,1213 Newell Rd,May 19 2014,Permit Issued,Permit Issued,12000-02606,Revision,12000-02606: DEFERRED SUBMITTAL NUMBER FOR SKYLIGHT. DEFERRED ITEM #10.,
palo alto,— Inspection,214 Homer Av,Sep 24 2014,Permit Issued,Approved,13000-00069,Permit: #13000-00069,BOOKFLIP: TI AND U&O WORK INCLUDES: ADDING 3 OUTLETS REPLACE ONE LIGHT FIXTURE RELOCATE SINK & ADD DISHWASHER AT GROUND FLOOR SPACE. U&O INCLUDES 2ND FLOOR.,
palo alto,— Inspection,440 Melville Av,May 2 2012,Permit Issued,Approved,12000-00466,Permit: #12000-00466,BASEMENT FURNACE REPLACEMENT,
palo alto,— Permit,884 Colorado Av,Jun 26 2012,Permit Issued,Permit Issued,12REV-00354,Permit: #12REV-00354,08000-01535: DEFERRED SUBMITTAL FOR TANKLESS WATER HEATER,
palo alto,— Permit,3535 El Camino Real,Oct 23 2012,Permit Issued,Permit Issued,12000-00494,Permit: #12000-00494,U&O FOR "LOVELY HAIR SALON". BUSINESS TO OCCUPY 800 SF ON FIRST FLOOR. **U&O SENT 10/24/12**,
palo alto,— Inspection,2276 Greer Rd,Jan 16 2013,Permit Issued,Approved,13000-00066,Permit: #13000-00066,TRENCHING APPROX. 62 FT. DRAIN PIPES. DIG UNDER HOUSE SLAB TO REROUTE 4" SEWER PIPE FROM UNDER HOUSE AND REROUTE 2" KITCHEN BATH LAUNDRY PIPES,
palo alto,— Inspection,1049 Metro Ci,Jan 22 2013,Permit Issued,Approved,12000-03058,Permit: #13000-00087,NEW SKYLIGHT (CURRENTLY UNDERGOING RE-ROOFING).,
palo alto,— Inspection,3874 Mumford Pl,Aug 21 2013,Permit Issued,Approved,12000-03052,Permit: #12000-03052,RESIDENTIAL REMODEL INCLUDING MASTER BATHROOM AND KITCHEN REMODEL (240 SF)(3/27/13: CHANGE FROM OWNER/BUILDER TO LICENSED CONTRACTOR),
palo alto,— Permit,1380 Martin Av,May 16 2013,Permit Issued,Permit Issued,13000-00570,Permit: #13REV-00332,13-570: REVISE FRONT PORCH ROOF WINDOW CHANGES ADD NEW PATIO DOOR AND ADD COFFERED CEILING IN MASTER BEDROOM.,
palo alto,— Permit,180 El Camino Real Suite 820,Feb 19 2014,Permit Issued,Permit Issued,13000-00065,Permit: #14REV-00079,(13000-00065) HVAC HANGERS AND SUPPORTS,
palo alto,— Inspection,2056 Hanover St,Jan 11 2013,Permit Issued,Approved,13000-00068,Permit: #13000-00068,GAS LINE REPAIR REPIPE 16 LINEAR FT. RED TAGGED,
palo alto,— Inspection,444 San Antonio Av Unit 2 D,Feb 7 2013,Permit Issued,Approved,13000-00086,Permit: #13000-00086,WATER HEATER CHANGE OUT. IN EXISTING LOCATION.,
palo alto,— Inspection,395 Olive Av,Jan 17 2013,Permit Issued,Approved,13000-00084,Permit: #13000-00084,COPPER REPIPE OF HOUSE NO REPLACEMENT OF FIXTURES NO NEW WATER HEATER,
palo alto,— Inspection,4283 Wilkie Wy,Apr 26 2013,Permit Issued,Approved,13000-00083,Permit: #13000-00083,EXTEND GAS LINE TO (E) FIREPLACE FOR (N) LOG LIGHTER,
palo alto,— Inspection,101 Alma St Unit 1003,Jun 13 2013,Permit Issued,Approved,13000-00082,Permit: #13000-00082,COMPLETE REMODEL CONDO. INCLUDES REGLAZING EXTERIOR WINDOWS.,
palo alto,— Inspection,751 Marion Av,Jan 18 2013,Permit Issued,Approved,13000-00081,Permit: #13000-00081,REPLACEC FURNACE. SAME LOCATION.,
palo alto,Plam Check,2190 W Bayshore Rd,Jan 14 2015,Permit Issued,Plan check not required,14000-02256,Res Elect/Plbg/Mech only,ELECTRIC FOR ILLUMINATED SIGN.,
palo alto,— Inspection,2100 Geng Rd 200,Mar 7 2013,Permit Issued,Approved,13000-00094,Permit: #13000-00094,MINOR REMODEL FOR EXISTING FIRM "ASSET MANAGEMENT ". WORK INCLUDES ENLARGING EXISTING OFFICE SPACE ON 2ND FLOOR ASSOCIATED ELECTRICAL.,
palo alto,Plam Check,715 Charleston Ct,Jan 30 2013,Permit Issued,Plans received; pending review,13000-00093,Permit: #13REV-00053,13-093: 70A SUBPANEL REMOVED,
palo alto,— Inspection,435 Sheridan Av,Apr 4 2014,Permit Issued,Scheduled,13000-00092,Permit: #13000-00092,DRYROT REPAIRS: REPLACE SIDING WINDOW FLASHING REPLACE MEMBERS AND ADD COATING TO BALCONIES AND BREEZEWAYS. PROVIDE ADDITIONAL NAILING AT (E) SHEARWALLS. ALL EXTERIOR WORK IS REPLACING LIKE FOR LIKE.,
palo alto,— Inspection,1010 Bryant St,Mar 4 2013,Permit Issued,Approved,13000-00091,Permit: #13000-00091,RESIDENTIAL REROOF: 26 SQUARES WOOD SHAKE. 1X3 DOUGLAS FIR ADDED TO EXISTING SKIP SHEATHING,
palo alto,— Inspection,511 Washington Av,May 1 2013,Permit Issued,Cancelled,13000-00090,Permit: #13000-00090,GARAGE REROOF LIKE FOR LIKE WOOD SHINGLE CLASS "C" ASSEMBLY.,
palo alto,Plam Check,2298 Louis Rd,,,,09000-00701,Permit: #10REV-00055,CHANGE FROM FAST JACK TO QUICK-MOUNT.,
palo alto,— Inspection,903 Loma Verde Av,Jun 27 2011,Permit Issued,Approved,10000-03285,Permit: #10000-03285,SINGLE STORY ADDITION (499 SF) AND REMODEL (224 SF). NEW MASTER BEDROOM SUITE AND POWDER ROOM AND EXPANSION OF FAMILY ROOM,
palo alto,— Permit,2365 Ramona St,May 13 2014,Permit Issued,Permit Issued,14000-00245,Revision,14000-00245: REVISION TO USE PSL BEAM IN PLACE OF STEEL BEAM AT KITCHEN,
palo alto,Plam Check,169 Primrose Wy,Aug 11 2010,Permit Issued,Approved,10000-00748,Permit: #10REV-00286,10-748: RELOC DET GARAGE (NEW) TO 6" FROM PL FORMERLY 1'-8" FROM PL.,
palo alto,— Inspection,180 Lois Ln,Apr 21 2010,Permit Issued,Approved,10000-00739,Permit: #10000-00739,INSTALL TWO LAYERS WOOD SHAKE AND SHINGLES WITH 7/16 OSB 30LB FELT LIFETIME COMP.,
palo alto,— Inspection,1690 Channing Av,May 11 2011,Permit Issued,Approved,10000-00963,Permit: #10000-00963,INSTALL NEW FURNACE AND WATER HEATER TO REPLACE EXISTING,
palo alto,— Inspection,3125 Alexis Dr,Jun 24 2016,Approved,Approved,15000-01566,Res Addition & Remodel,RESIDENTIAL ADDITION (1920 SF) TO CONNECT MAIN DWELLING TO (E) DETACHED GARAGE GARAGE ADDITION (60 SF) KITCHEN REMODEL (600 SF) RELOCATE (E) PANEL NEW RETAINING WALLS AT NORTH WALL OF ADDITION,
palo alto,— Inspection,3905 Park Bl,Apr 13 2010,Permit Issued,Partially approved,10000-00735,Permit: #10000-00735,UPGRADE ELECTRIC SERVICE TO 125 AMP IN SAME O.H. LOCATION.,
palo alto,— Inspection,425 Grant Av 35,May 20 2010,Permit Issued,Approved,10000-00733,Permit: #10000-00733,KITCHEN REMODEL ~220 SF.,
palo alto,— Inspection,2400 Geng Rd Suite 110,Jan 25 2011,Permit Issued,Approved,10000-00732,Permit: #10000-00732,TI/U&O FOR 'GIG OPTICS' STE 110 INCL NEW INT WALL FRAME NEW ACCESS ADA PATHWAY (150 SF); *ALSO DEMISE NEW SUITE 100 - SPEC SPACE; *PER 10REV-436 'GIG OPTIX' STE# CHANGED TO 140 2-NEW SPEC STES CREATED (150 & 175). **U&O SENT 6/1/11**,
palo alto,— Inspection,411 Kipling St,Apr 21 2010,,Approved,10000-00730,Permit: #10000-00730,Tear off 2 layers existing roofing comp & shingle. Install 7/16" OSB fiberglass reinforced felt and 17 sqs. Duration Premium Comp. by Owens Corning.,
palo alto,— Permit,1416 Tasso St,Apr 9 2010,Permit Issued,Permit Issued,09000-00952,Permit: #10000-00754,INSTALL NEW 199000 BTU TANKLESS WATER HEATER,
palo alto,— Inspection,206 Homer Av,Apr 27 2011,Permit Issued,Approved,10000-00750,Permit: #10000-00750,**WORK DONE WITHOUT PERMIT - REQUIRES INSPECTION INVESTIGATION** TENANT IMPROVEMENT (DEMISING WALL ACCESSIBLE CASH WRAP HINGED MIRROR SIGNAGE)USE AND OCUPANCY FOR "CASSIS" A RETAIL WOMENS CLOTHING STORE 1400 SQFT,
palo alto,— Inspection,2127 El Camino Real,Apr 22 2010,Permit Issued,Approved,10000-00746,Permit: #10000-00746,INSTALL SEVEN NEW RP'S AT THE FOLLOWING ADDRESS 2103 EL CAMINO REAL 2107 EL CAMINO REAL 2111 EL CAMINO REAL 2115 EL CAMINO REAL 2119 EL CAMINO REAL 2123 EL CAMINO REAL 2127 EL CAMINO REAL INSTALL EXPANSION TANKS IN ALL CLOSED LOOP SYSTEMS. THIS PERMIT IS FOR ONE INSPECTION SO ALL OF THE ABOVE WORH SHALL BE COMPLETED AT ONE TIME.,
palo alto,— Inspection,335 College Av,May 7 2010,Permit Issued,Approved,10000-00744,Permit: #10000-00770,DEMO GARAGE ~ 315 SF (NEW GARAGE PERMIT 10-744),
palo alto,Plam Check,999 Commercial St Suite 107,Apr 23 2010,FIR - Routed,Approved,10000-00743,Permit: #10000-00743,U&O FOR "PALO ALTO FIREFIGHTERS LOCAL 1319" 280 SF ON FIRST FLOOR,
palo alto,— Permit,3209 Waverley St,Apr 9 2010,Permit Issued,Permit Issued,09000-01093,Permit: #10REV-00103,NEW 2-STORY RESIDENCE (2549 SF) WITH ATTACHED GARAGE (232 SF).,
palo alto,— Inspection,3360 Vernon Ter,May 13 2010,,Approved,10000-00757,Permit: #10000-00757,REPLACE 40 GAL GAS WATER HEATER - SAME LOCATION = GARAGE,
palo alto,— Permit,544 Thain Wy,Apr 9 2010,,Issued through Velocity Hall,10000-00759,Permit: #10000-00759,REPLACE 40 GALLON GAS WATER HEATER - SAME LOCATION = INTERIOR CLOSET,
palo alto,— Inspection,1554 Walnut Dr,May 5 2010,Permit Issued,Approved,10000-00769,Permit: #10000-00769,WINDOW RETROFIT (7) TOTAL AT 1ST & 2ND FLOOR ONE SLIDING DOOR AT LIVING RM (ALL SAME SIZE AND LOCATION).,
